MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수,point_count,points_near_pier,berthed_ratio_near_pier,departure_count,round_trip_detected,first_ts,last_ts
111111111,,51,,702HAEG,5,5,5,5,0,3,1310,1,0.0008,1,False,2021-01-01 00:00:47,2021-01-31 23:53:02
229710000,THALATTA,70,9702455,9HA3538,37,163,15,22,9.4,26867,641,0,0.0,1,False,2021-01-01 00:00:11,2021-01-14 11:59:38
312933000,JINHUA15,70,9180504,V3FH,61,19,5,8,3.6,1581,917,0,0.0,1,False,2021-01-01 00:02:32,2021-01-31 23:48:57
440004000,NEW GREEN,52,9416939,DSBJ 3,8,30,5,5,0,174,4277,0,0.0,2,True,2021-01-01 00:00:01,2021-01-31 23:53:49
440007820,,40,,962471,5,10,2,2,0,10,1994,1463,0.7337,16,True,2021-01-01 07:16:26,2021-01-31 23:55:51
440101029,PILOT 1,0,,711,0,0,0,0,0,0,2173,0,0.0,2,True,2021-01-01 00:00:06,2021-01-31 23:55:21
440114110,,50,,300,0,0,0,0,0,0,251,0,0.0,4,True,2021-01-06 07:20:35,2021-01-28 09:51:13
440500256,,37,,701,0,0,0,0,0,0,188,0,0.0,1,False,2021-01-03 06:11:42,2021-01-14 21:08:08
440500950,,31,,709,0,0,0,0,0,0,3566,1,0.0003,6,True,2021-01-01 00:00:22,2021-01-31 23:59:53
440500970,DEA RYONG NO.305,0,,700,0,0,0,0,0,0,3329,0,0.0,3,True,2021-01-01 00:00:33,2021-01-31 23:51:04
440501490,,30,,@@C,0,0,0,0,0,0,31,3,0.0968,1,False,2021-01-15 07:49:57,2021-01-23 16:46:42
440502370,29 MAN BOK HO,0,,700,0,0,0,0,0,0,3286,0,0.0,1,False,2021-01-01 00:00:02,2021-01-31 23:59:21
440504120,,54,,700,0,0,0,0,0,0,24,0,0.0,1,False,2021-01-05 13:30:04,2021-01-26 14:49:21
440504800,KEUM RYONG NO.551,31,9754006,DSUB,0,23,7,5,4,36,4277,0,0.0,2,True,2021-01-01 00:00:02,2021-01-31 23:53:25
440504860,215HWANGRYONG,0,,,0,0,0,0,0,0,2973,2,0.0007,3,True,2021-01-01 00:00:02,2021-01-31 23:52:51
440505980,YOONS NO,7,0,,,0,0,0,0,0,4277,0,0.0,2,True,2021-01-01 00:00:08,2021-01-31 23:57:07
441735000,,0,,,0,0,0,0,0,0,3765,2763,0.7339,1,False,2021-01-01 00:00:04,2021-01-30 18:52:34
